#UpdateLogicID,UpdateLogicName,CompanyClassID,AgentClassID,DllFileName,DllFunctionName,Remarks
Ship_RefOrder&Backlog&Container,注文&注残&コンテナ考慮出庫指示,CC003,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に、コンテナ使用コストが最小となるように出庫指示(LI_ship_08)
Ship_RefOrder&Backlog&Container,注文&注残&コンテナ考慮出庫指示,CC004,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に、コンテナ使用コストが最小となるように出庫指示(LI_ship_08)
Ship_RefOrder&Backlog&Container,注文&注残&コンテナ考慮出庫指示,CC009,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に、コンテナ使用コストが最小となるように出庫指示(LI_ship_08)
Ship_FareShare&Box,Box考慮フェアシェア出庫指示,CC002,AC003,,,エージェント起動時点に届いている注文に対し、各出庫先の注残の割合で在庫を按分し出庫先ごとに最もBox充足率の高いBoxを選定し、その中で最大のBox充足率となっているBoxを引き当てるよう出庫指示(LI_ship_09)
Ship_FareShare&Box,Box考慮フェアシェア出庫指示,CC003,AC003,,,エージェント起動時点に届いている注文に対し、各出庫先の注残の割合で在庫を按分し出庫先ごとに最もBox充足率の高いBoxを選定し、その中で最大のBox充足率となっているBoxを引き当てるよう出庫指示(LI_ship_09)
Ship_FareShare&Box,Box考慮フェアシェア出庫指示,CC004,AC003,,,エージェント起動時点に届いている注文に対し、各出庫先の注残の割合で在庫を按分し出庫先ごとに最もBox充足率の高いBoxを選定し、その中で最大のBox充足率となっているBoxを引き当てるよう出庫指示(LI_ship_09)
Ship_RefExtShipInstruction&Container,コンテナ考慮&出庫指示外部読込み,CC004,AC003,,,出庫指示を外部ファイル参照し、コンテナ使用コストが最小となるように出庫指示(LI_ship_10)
Ship_Ensure100%ShipmentOnSupplier&Container,注文100％出庫指示&コンテナ考慮,CC007,AC003,,,在庫が無限大にある前提で、コンテナ使用コストが最小となるように出庫指示(サプライヤ用)(LI_ship_11)
Ship_RefExtShipInstruction&Container,コンテナ考慮&出庫指示外部読込み,CC007,AC003,,,出庫指示を外部ファイル参照し、コンテナ使用コストが最小となるように出庫指示(サプライヤ用)(LI_ship_12)
Ship_RefOrder&BacklogDate&Box&Container,Box&コンテナ考慮出庫指示,CC002,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に、I、F、S順、およびBox充足率を閾値として、コンテナ使用コストが最小となるように出庫指示(LI_ship_13)
Ship_RefOrder&BacklogDate&Box&Container,Box&コンテナ考慮出庫指示,CC003,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に、I、F、S順、およびBox充足率を閾値として、コンテナ使用コストが最小となるように出庫指示(LI_ship_13)
Ship_RefOrder&BacklogDate&Box&Container,Box&コンテナ考慮出庫指示,CC004,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に、I、F、S順、およびBox充足率を閾値として、コンテナ使用コストが最小となるように出庫指示(LI_ship_13)
Ship_RefOrder&BacklogDate&Box&Container,Box&コンテナ考慮出庫指示,CC007,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に、I、F、S順、およびBox充足率を閾値として、コンテナ使用コストが最小となるように出庫指示(LI_ship_13)
Ship_RefExtShipInstruction&Box&Container,コンテナ考慮&Box出庫指示外部読込み,CC004,AC003,,,Boxを考慮した出庫指示を外部ファイル参照し、コンテナ使用コストが最小となるように出庫指示(LI_ship_14)
Ship_RefExtShipInstruction&Box&Container,コンテナ考慮&Box出庫指示外部読込み,CC007,AC003,,,Boxを考慮した出庫指示を外部ファイル参照し、コンテナ使用コストが最小となるように出庫指示(LI_ship_14)
Ship_RefOnlyCurrentDateOrder,注文&注残&失注考慮出庫指示,CC002,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(ただし、在庫不足の場合は失注)(LI_ship_15)
Ship_RefOnlyCurrentDateOrder,注文&注残&失注考慮出庫指示,CC003,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(ただし、在庫不足の場合は失注)(LI_ship_15)
Ship_RefOnlyCurrentDateOrder,注文&注残&失注考慮出庫指示,CC004,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(ただし、在庫不足の場合は失注)(LI_ship_15)
